city,timestamp_utc,temperature_celsius,temperature_fahrenheit,humidity_percent,wind_speed_ms,weather_description
Sydney,2026-01-15 04:47:30,25.36,77.65,74,10.8,scattered clouds
Munich,2026-01-16 05:25:09,-0.9,30.38,89,0.45,overcast clouds
Paris,2026-01-16 05:19:33,8.54,47.37,91,3.6,overcast clouds
Paris,2026-01-16 05:23:47,8.54,47.37,91,3.6,overcast clouds
Munich,2026-01-15 04:32:16,2.89,37.2,82,0.45,overcast clouds
London,2026-01-15 18:06:24,9.42,48.96,90,6.26,moderate rain
Nürburg,2026-01-15 18:17:54,6.58,43.84,87,3.09,overcast clouds
London,2026-01-15 02:21:58,8.33,46.99,87,4.02,scattered clouds
Paris,2026-01-15 04:46:26,9.46,49.03,83,6.69,broken clouds
Los Angeles,2026-01-16 05:26:29,18.28,64.9,44,2.06,clear sky
Sydney,2026-01-15 04:21:15,25.56,78.01,75,9.77,broken clouds
New York,2026-01-15 04:53:01,7.31,45.16,77,3.09,overcast clouds
Los Angeles,2026-01-15 04:51:11,18.96,66.13,42,2.06,clear sky
New York,2026-01-16 05:20:53,-4.39,24.1,45,11.32,clear sky
Tokyo,2026-01-15 04:46:41,10.57,51.03,42,4.12,broken clouds
Sydney,2026-01-15 04:46:52,25.36,77.65,74,10.8,scattered clouds
Los Angeles,2026-01-15 04:44:53,18.86,65.95,41,2.06,clear sky
Los Angeles,2026-01-15 04:30:23,19.33,66.79,40,2.06,clear sky
Ho Chi Minh City,2026-01-15 04:43:16,29.48,85.06,68,2.24,scattered clouds
Nürburg,2026-01-16 05:38:59,7.39,45.3,81,6.69,broken clouds
Los Angeles,2026-01-15 18:15:37,23.2,73.76,30,4.12,clear sky
London,2026-01-15 04:32:13,7.95,46.31,90,2.06,broken clouds
Nürburg,2026-01-15 04:32:17,6.56,43.81,100,5.14,mist
Nürburg,2026-01-16 05:26:36,7.39,45.3,81,5.66,broken clouds
Tokyo,2026-01-15 04:25:49,10.92,51.66,40,3.6,broken clouds
Ho Chi Minh City,2026-01-15 04:27:21,28.93,84.07,70,2.68,scattered clouds
Munich,2026-01-15 04:49:00,2.9,37.22,82,0.89,overcast clouds
Paris,2026-01-15 04:51:52,9.46,49.03,83,6.69,broken clouds
Tokyo,2026-01-16 05:30:01,17.14,62.85,28,2.57,clear sky
Hanoi,2026-01-15 04:42:03,21.0,69.8,62,1.44,scattered clouds
Tokyo,2026-01-16 05:25:01,17.14,62.85,28,2.57,clear sky
Ho Chi Minh City,2026-01-16 05:38:55,30.04,86.07,70,2.57,broken clouds
Los Angeles,2026-01-16 05:23:10,18.21,64.78,44,2.06,clear sky
Los Angeles,2026-01-16 05:38:12,18.15,64.67,44,2.06,clear sky
Nürburg,2026-01-15 04:55:04,6.56,43.81,100,5.14,mist
Munich,2026-01-15 18:14:25,2.69,36.84,85,2.04,scattered clouds
London,2026-01-16 05:30:38,4.02,39.24,93,1.54,broken clouds
Tokyo,2026-01-15 04:25:49,10.92,51.66,40,3.6,broken clouds
Ho Chi Minh City,2026-01-15 04:27:21,28.93,84.07,70,2.68,scattered clouds
Sydney,2026-01-16 05:26:07,25.47,77.85,66,4.02,few clouds
Sydney,2026-01-15 02:22:18,24.48,76.06,80,9.77,light rain
Munich,2026-01-16 05:28:12,-0.88,30.42,89,0.45,overcast clouds
New York,2026-01-15 04:22:06,7.16,44.89,78,3.09,overcast clouds
Ho Chi Minh City,2026-01-16 05:23:26,30.04,86.07,71,3.09,broken clouds
New York,2026-01-15 04:22:06,7.16,44.89,78,3.09,overcast clouds
Nürburg,2026-01-15 02:31:49,6.35,43.43,93,5.66,overcast clouds
New York,2026-01-15 04:38:20,7.16,44.89,78,3.09,overcast clouds
Munich,2026-01-16 05:38:55,-0.89,30.4,89,0.45,overcast clouds
